entry_signal_date,exit_signal_date,nights_long,entry_close_usd,signal_exit_close_usd,compounded_overnight_gross,holding_simple_return_frac,stint_profitable_vs_cash_before_fees
2024-01-03,2024-01-04,1,42848.17578125,44179.921875,1.031080578565325,0.03108057856532498,True
2024-01-15,2024-01-16,1,42511.96875,43154.9453125,1.0151246009395882,0.015124600939588229,True
2024-01-18,2024-01-20,2,41262.05859375,41665.5859375,1.009779622188097,0.009779622188097026,True
2024-01-22,2024-01-27,5,39507.3671875,42120.0546875,1.0661316530560065,0.06613165305600655,True
2024-01-30,2024-02-01,2,42952.609375,43075.7734375,1.0028674407513805,0.0028674407513804567,True
2024-02-02,2024-02-03,1,43185.859375,42992.25,0.9955168340331307,-0.0044831659668692625,False
2024-02-08,2024-02-09,1,45301.56640625,47147.19921875,1.0407410374279105,0.040741037427910465,True
2024-07-08,2024-07-09,1,56705.09765625,58009.2265625,1.0229984421181268,0.02299844211812685,True
2024-08-11,2024-08-12,1,58719.484375,59354.515625,1.0108146598485863,0.010814659848586317,True
